epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,299.057,2.49965,1.89682,1.6368,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.000614,0.000614,0.000614
72,303.378,2.05996,1.73711,1.45109,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0005942,0.0005942,0.0005942
73,308.581,2.00084,1.74124,1.48514,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0005744,0.0005744,0.0005744
74,314.173,2.33793,1.98046,1.53887,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0005546,0.0005546,0.0005546
75,319.193,2.16932,1.84332,1.60916,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0005348,0.0005348,0.0005348
76,323.908,2.36476,1.94285,1.68226,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.000515,0.000515,0.000515
77,328.156,2.30426,1.69205,1.37164,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0004952,0.0004952,0.0004952
78,331.955,2.17303,1.83842,1.57112,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0004754,0.0004754,0.0004754
79,335.838,2.16258,1.78072,1.48669,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0004556,0.0004556,0.0004556
80,340.431,2.36951,1.77958,1.57835,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0004358,0.0004358,0.0004358
81,344.649,2.38532,1.94254,1.6832,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.000416,0.000416,0.000416
82,348.419,2.11564,1.64784,1.36482,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0003962,0.0003962,0.0003962
83,355.398,2.18831,1.86678,1.52378,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0003764,0.0003764,0.0003764
84,359.65,2.0799,1.74212,1.4965,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0003566,0.0003566,0.0003566
85,366.296,1.81555,1.38871,1.30358,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0003368,0.0003368,0.0003368
